year;abbr;canton;age;sex;population
1991;CH;Suisse;87;2;10979
1991;CH;Suisse;88;2;9028
1991;CH;Suisse;89;2;7721
1991;CH;Suisse;90;2;6359
1991;CH;Suisse;91;2;4794
1991;CH;Suisse;92;2;3669
1991;CH;Suisse;93;2;2755
1991;CH;Suisse;94;2;1967
1991;CH;Suisse;95;2;1347
1991;CH;Suisse;96;2;900
1991;CH;Suisse;97;2;623
1991;CH;Suisse;98;2;399
1991;CH;Suisse;99+;2;548
1991;ZH;Zurich;0;1;6643
1991;ZH;Zurich;1;1;6502
1991;ZH;Zurich;2;1;6332
1991;ZH;Zurich;3;1;6307
1991;ZH;Zurich;4;1;6075
1991;ZH;Zurich;5;1;6126
1991;ZH;Zurich;6;1;6043
1991;ZH;Zurich;7;1;6042
1991;ZH;Zurich;8;1;6063
1991;ZH;Zurich;9;1;5990
1991;ZH;Zurich;10;1;6138
1991;ZH;Zurich;11;1;6107
1991;ZH;Zurich;12;1;5953
1991;ZH;Zurich;13;1;5872
1991;ZH;Zurich;14;1;5924
1991;ZH;Zurich;15;1;5765
1991;ZH;Zurich;16;1;6074
1991;ZH;Zurich;17;1;6169
1991;ZH;Zurich;18;1;6444
1991;ZH;Zurich;19;1;6816
1991;ZH;Zurich;20;1;7290
1991;ZH;Zurich;21;1;7619
1991;ZH;Zurich;22;1;7783
1991;ZH;Zurich;23;1;8110
1991;ZH;Zurich;24;1;8693
1991;ZH;Zurich;25;1;9213
1991;ZH;Zurich;26;1;9725
1991;ZH;Zurich;27;1;10142
1991;ZH;Zurich;28;1;10472
1991;ZH;Zurich;29;1;10157
1991;ZH;Zurich;30;1;10082
1991;ZH;Zurich;31;1;9862
1991;ZH;Zurich;32;1;9627
1991;ZH;Zurich;33;1;9487
1991;ZH;Zurich;34;1;9549
1991;ZH;Zurich;35;1;9279
1991;ZH;Zurich;36;1;9072
1991;ZH;Zurich;37;1;8992
1991;ZH;Zurich;38;1;8746
1991;ZH;Zurich;39;1;8984
1991;ZH;Zurich;40;1;8556
1991;ZH;Zurich;41;1;8977
1991;ZH;Zurich;42;1;8857
1991;ZH;Zurich;43;1;8941
1991;ZH;Zurich;44;1;9201
1991;ZH;Zurich;45;1;9301
1991;ZH;Zurich;46;1;9339
1991;ZH;Zurich;47;1;9122
1991;ZH;Zurich;48;1;8945
1991;ZH;Zurich;49;1;8773
1991;ZH;Zurich;50;1;8245
1991;ZH;Zurich;51;1;7592
1991;ZH;Zurich;52;1;7418
1991;ZH;Zurich;53;1;7045
1991;ZH;Zurich;54;1;6812
1991;ZH;Zurich;55;1;6892
1991;ZH;Zurich;56;1;6778
1991;ZH;Zurich;57;1;6669
1991;ZH;Zurich;58;1;6242
1991;ZH;Zurich;59;1;6056
1991;ZH;Zurich;60;1;5919
1991;ZH;Zurich;61;1;5901
1991;ZH;Zurich;62;1;5590
1991;ZH;Zurich;63;1;5144
1991;ZH;Zurich;64;1;4993
1991;ZH;Zurich;65;1;4853
1991;ZH;Zurich;66;1;4696
1991;ZH;Zurich;67;1;4315
1991;ZH;Zurich;68;1;4294
1991;ZH;Zurich;69;1;3954
1991;ZH;Zurich;70;1;4015
1991;ZH;Zurich;71;1;3805
1991;ZH;Zurich;72;1;3208
