year;kt;abbr;canton;population;variation_absolue;variation_pourcent;Naissance_vivante;Deces;Accroissement_naturel
2007;21;TI;Tessin;328580;3729;1.1;2813;2762;51
2007;22;VD;Vaud;672039;9894;1.5;7585;5321;2264
2007;23;VS;Valais;298580;3972;1.3;2723;2313;410
2007;24;NE;Neuchâtel;169782;870;0.5;1725;1619;106
2007;25;GE;Genève;438177;4942;1.1;4804;3086;1718
2007;26;JU;Jura;69555;263;0.4;607;648;-41
2008;1;ZH;Zurich;1332727;25160;1.9;14480;10163;4317
2008;2;BE;Berne;969299;6317;0.7;9020;8777;243
2008;3;LU;Lucerne;368742;5267;1.4;3815;2739;1076
2008;4;UR;Uri;35162;173;0.5;331;306;25
2008;5;SZ;Schwytz;143719;2695;1.9;1542;1048;494
2008;6;OW;Obwald;34429;432;1.3;354;275;79
2008;7;NW;Nidwald;40737;450;1.1;386;293;93
2008;8;GL;Glaris;38370;133;0.3;330;393;-63
2008;9;ZG;Zoug;110384;1243;1.1;1164;666;498
2008;10;FR;Fribourg;268537;5296;2;2895;1762;1133
2008;11;SO;Soleure;251830;1590;0.6;2184;2186;-2
2008;12;BS;Bâle-Ville;186672;1445;0.8;1656;2148;-492
2008;13;BL;Bâle-Campagne;271214;2069;0.8;2348;2115;233
2008;14;SH;Schaffhouse;75303;776;1;612;710;-98
2008;15;AR;Appenzell Rh.-Ext.;53054;400;0.8;489;499;-10
2008;16;AI;Appenzell Rh.-Int.;15549;78;0.5;166;139;27
2008;17;SG;Saint-Gall;471152;5215;1.1;4664;3726;938
2008;18;GR;Grisons;190459;1697;0.9;1597;1631;-34
2008;19;AG;Argovie;591632;10070;1.7;5915;4039;1876
2008;20;TG;Thurgovie;241811;3495;1.5;2187;1942;245
2008;21;TI;Tessin;332736;4156;1.3;2992;2795;197
2008;22;VD;Vaud;688245;16206;2.4;7520;5242;2278
2008;23;VS;Valais;303241;4661;1.6;2880;2381;499
2008;24;NE;Neuchâtel;170924;1142;0.7;1723;1585;138
2008;25;GE;Genève;446106;7929;1.8;4787;3065;1722
2008;26;JU;Jura;69822;267;0.4;654;608;46
2009;1;ZH;Zurich;1351297;18570;1.4;14879;10170;4709
2009;2;BE;Berne;974235;4936;0.5;9192;9025;167
2009;3;LU;Lucerne;372964;4222;1.1;3839;2927;912
2009;4;UR;Uri;35335;173;0.5;351;316;35
2009;5;SZ;Schwytz;144686;967;0.7;1451;1039;412
2009;6;OW;Obwald;35032;603;1.8;363;255;108
2009;7;NW;Nidwald;40794;57;0.1;353;294;59
2009;8;GL;Glaris;38479;109;0.3;320;393;-73
2009;9;ZG;Zoug;110890;506;0.5;1166;662;504
2009;10;FR;Fribourg;273159;4622;1.7;3029;1906;1123
2009;11;SO;Soleure;252748;918;0.4;2222;2231;-9
2009;12;BS;Bâle-Ville;187898;1226;0.7;1731;2161;-430
2009;13;BL;Bâle-Campagne;272815;1601;0.6;2395;2256;139
2009;14;SH;Schaffhouse;75657;354;0.5;660;722;-62
2009;15;AR;Appenzell Rh.-Ext.;53043;-11;0;466;455;11
2009;16;AI;Appenzell Rh.-Int.;15681;132;0.8;163;126;37
2009;17;SG;Saint-Gall;474676;3524;0.7;4794;3781;1013
2009;18;GR;Grisons;191861;1402;0.7;1619;1701;-82
2009;19;AG;Argovie;600040;8408;1.4;5822;4313;1509
2009;20;TG;Thurgovie;244805;2994;1.2;2310;1817;493
2009;21;TI;Tessin;335720;2984;0.9;2932;2861;71
2009;22;VD;Vaud;701526;13281;1.9;8032;5309;2723
2009;23;VS;Valais;307392;4151;1.4;2876;2444;432
2009;24;NE;Neuchâtel;171647;723;0.4;1804;1534;270
2009;25;GE;Genève;453292;7186;1.6;4837;3140;1697
2009;26;JU;Jura;70134;312;0.4;680;638;42
2010;1;ZH;Zurich;1368822;17525;1.3;15297;10283;5014
2010;2;BE;Berne;978248;4013;0.4;9381;9018;363
2010;3;LU;Lucerne;376395;3431;0.9;3912;2826;1086
2010;4;UR;Uri;35301;-34;-0.1;350;350;0
2010;5;SZ;Schwytz;146285;1599;1.1;1467;962;505
2010;6;OW;Obwald;35492;460;1.3;347;232;115
2010;7;NW;Nidwald;40922;128;0.3;373;302;71
2010;8;GL;Glaris;38568;89;0.2;322;398;-76
2010;9;ZG;Zoug;112237;1347;1.2;1165;706;459
2010;10;FR;Fribourg;277824;4665;1.7;3087;1893;1194
2010;11;SO;Soleure;254758;2010;0.8;2266;2174;92
2010;12;BS;Bâle-Ville;189431;1533;0.8;1859;2155;-296
2010;13;BL;Bâle-Campagne;273887;1072;0.4;2449;2228;221
2010;14;SH;Schaffhouse;76345;688;0.9;630;701;-71
2010;15;AR;Appenzell Rh.-Ext.;52938;-105;-0.2;505;488;17
2010;16;AI;Appenzell Rh.-Int.;15655;-26;-0.2;159;117;42
2010;17;SG;Saint-Gall;477746;3070;0.6;4852;3762;1090
2010;18;GR;Grisons;192702;841;0.4;1602;1608;-6
2010;19;AG;Argovie;608299;8259;1.4;6258;4323;1935
2010;20;TG;Thurgovie;247781;2976;1.2;2396;1918;478
2010;21;TI;Tessin;339946;4226;1.3;2953;2963;-10
2010;22;VD;Vaud;711818;10292;1.5;8129;5300;2829
2010;23;VS;Valais;311985;4593;1.5;3096;2445;651
2010;24;NE;Neuchâtel;171904;257;0.1;1750;1587;163
2010;25;GE;Genève;458559;5267;1.2;5007;3123;1884
2010;26;JU;Jura;70164;30;0;678;691;-13
2011;1;ZH;Zurich;1392396;19328;1.4;15592;10280;5312
2011;2;BE;Berne;985046;5244;0.5;9325;8984;341
2011;3;LU;Lucerne;381966;4356;1.2;4036;2764;1272
