year;kt;abbr;canton;population;variation_absolue;variation_pourcent;Naissance_vivante;Deces;Accroissement_naturel
2011;4;UR;Uri;35382;-40;-0.1;326;318;8
2011;5;SZ;Schwytz;147904;1174;0.8;1417;1065;352
2011;6;OW;Obwald;35885;300;0.8;380;243;137
2011;7;NW;Nidwald;41311;287;0.7;374;274;100
2011;8;GL;Glaris;39217;609;1.6;340;364;-24
2011;9;ZG;Zoug;115104;1999;1.8;1200;720;480
2011;10;FR;Fribourg;284668;6175;2.2;3147;1973;1174
2011;11;SO;Soleure;256990;1706;0.7;2360;2190;170
2011;12;BS;Bâle-Ville;186255;1305;0.7;1848;2052;-204
2011;13;BL;Bâle-Campagne;275360;956;0.3;2451;2212;239
2011;14;SH;Schaffhouse;77139;783;1;699;716;-17
2011;15;AR;Appenzell Rh.-Ext.;53313;296;0.6;517;449;68
2011;16;AI;Appenzell Rh.-Int.;15743;55;0.4;177;141;36
2011;17;SG;Saint-Gall;483156;4249;0.9;4977;3665;1312
2011;18;GR;Grisons;193388;767;0.4;1724;1614;110
2011;19;AG;Argovie;618298;6832;1.1;6163;4379;1784
2011;20;TG;Thurgovie;251973;3529;1.4;2340;1869;471
2011;21;TI;Tessin;336943;3190;1;2949;2897;52
2011;22;VD;Vaud;725944;12663;1.8;7953;5191;2762
2011;23;VS;Valais;317022;4338;1.4;3107;2517;590
2011;24;NE;Neuchâtel;173183;1098;0.6;1763;1524;239
2011;25;GE;Genève;460534;2819;0.6;4981;3045;1936
2011;26;JU;Jura;70542;510;0.7;662;645;17
2012;1;ZH;Zurich;1408575;16179;1.2;15794;10500;5294
2012;2;BE;Berne;992617;7571;0.8;9658;9302;356
2012;3;LU;Lucerne;386082;4116;1.1;4087;2928;1159
2012;4;UR;Uri;35693;311;0.9;368;312;56
2012;5;SZ;Schwytz;149830;1926;1.3;1578;1035;543
2012;6;OW;Obwald;36115;230;0.6;383;271;112
2012;7;NW;Nidwald;41584;273;0.7;366;268;98
2012;8;GL;Glaris;39369;152;0.4;366;368;-2
2012;9;ZG;Zoug;116575;1471;1.3;1201;742;459
2012;10;FR;Fribourg;291395;6727;2.4;3131;1875;1256
2012;11;SO;Soleure;259283;2293;0.9;2401;2270;131
2012;12;BS;Bâle-Ville;187425;1170;0.6;1905;2097;-192
2012;13;BL;Bâle-Campagne;276537;1177;0.4;2494;2312;182
2012;14;SH;Schaffhouse;77955;816;1.1;711;741;-30
2012;15;AR;Appenzell Rh.-Ext.;53438;125;0.2;538;518;20
2012;16;AI;Appenzell Rh.-Int.;15717;-26;-0.2;171;135;36
2012;17;SG;Saint-Gall;487060;3904;0.8;4958;3937;1021
2012;18;GR;Grisons;193920;532;0.3;1645;1703;-58
2012;19;AG;Argovie;627340;9042;1.5;6404;4497;1907
2012;20;TG;Thurgovie;256213;4240;1.7;2425;1884;541
2012;21;TI;Tessin;341652;4709;1.4;2839;2998;-159
2012;22;VD;Vaud;734356;8412;1.2;8211;5552;2659
2012;23;VS;Valais;321732;4710;1.5;3045;2481;564
2012;24;NE;Neuchâtel;174554;1371;0.8;1784;1638;146
2012;25;GE;Genève;463101;2567;0.6;5030;3151;1879
2012;26;JU;Jura;70942;400;0.6;671;658;13
2013;1;ZH;Zurich;1425538;16963;1.2;15996;10792;5204
2013;2;BE;Berne;1001281;8664;0.9;9587;9527;60
2013;3;LU;Lucerne;390349;4267;1.1;4065;2879;1186
2013;4;UR;Uri;35865;172;0.5;325;341;-16
2013;5;SZ;Schwytz;151396;1566;1;1542;1094;448
2013;6;OW;Obwald;36507;392;1.1;340;279;61
2013;7;NW;Nidwald;41888;304;0.7;392;307;85
2013;8;GL;Glaris;39593;224;0.6;392;342;50
2013;9;ZG;Zoug;118118;1543;1.3;1258;764;494
2013;10;FR;Fribourg;297622;6227;2.1;3166;1965;1201
2013;11;SO;Soleure;261437;2154;0.8;2373;2286;87
2013;12;BS;Bâle-Ville;189335;1910;1;1894;2049;-155
2013;13;BL;Bâle-Campagne;278656;2119;0.8;2380;2384;-4
2013;14;SH;Schaffhouse;78783;828;1.1;734;731;3
2013;15;AR;Appenzell Rh.-Ext.;53691;253;0.5;498;514;-16
2013;16;AI;Appenzell Rh.-Int.;15778;61;0.4;180;138;42
2013;17;SG;Saint-Gall;491699;4639;1;5112;3728;1384
2013;18;GR;Grisons;194959;1039;0.5;1764;1721;43
2013;19;AG;Argovie;636362;9022;1.4;6423;4557;1866
2013;20;TG;Thurgovie;260278;4065;1.6;2489;1966;523
2013;21;TI;Tessin;346539;4887;1.4;2842;3057;-215
2013;22;VD;Vaud;749373;15017;2;8274;5410;2864
2013;23;VS;Valais;327011;5279;1.6;3142;2629;513
2013;24;NE;Neuchâtel;176402;1848;1.1;1716;1580;136
2013;25;GE;Genève;469433;6332;1.4;5167;3322;1845
2013;26;JU;Jura;71738;796;1.1;680;599;81
2014;1;ZH;Zurich;1446354;20816;1.5;16884;10521;6363
2014;2;BE;Berne;1009418;8137;0.8;9731;9111;620
2014;3;LU;Lucerne;394604;4255;1.1;4153;2900;1253
2014;4;UR;Uri;36008;143;0.4;324;320;4
2014;5;SZ;Schwytz;152759;1363;0.9;1545;1068;477
2014;6;OW;Obwald;36834;327;0.9;395;255;140
2014;7;NW;Nidwald;42080;192;0.5;377;300;77
2014;8;GL;Glaris;39794;201;0.5;378;372;6
2014;9;ZG;Zoug;120089;1971;1.7;1284;742;542
2014;10;FR;Fribourg;303377;5755;1.9;3369;2009;1360
2014;11;SO;Soleure;263719;2282;0.9;2418;2333;85
2014;12;BS;Bâle-Ville;190580;1245;0.7;1996;2138;-142
2014;13;BL;Bâle-Campagne;281301;2645;0.9;2534;2366;168
2014;14;SH;Schaffhouse;79417;634;0.8;725;772;-47
2014;15;AR;Appenzell Rh.-Ext.;54064;373;0.7;537;478;59
2014;16;AI;Appenzell Rh.-Int.;15854;76;0.5;166;131;35
2014;17;SG;Saint-Gall;495824;4125;0.8;5058;3805;1253
2014;18;GR;Grisons;195886;927;0.5;1803;1704;99
2014;19;AG;Argovie;645277;8915;1.4;6687;4510;2177
2014;20;TG;Thurgovie;263733;3455;1.3;2664;1958;706
2014;21;TI;Tessin;350363;3824;1.1;2908;2924;-16
2014;22;VD;Vaud;761446;12073;1.6;8387;5275;3112
2014;23;VS;Valais;331763;4752;1.5;3198;2501;697
2014;24;NE;Neuchâtel;177327;925;0.5;1803;1626;177
2014;25;GE;Genève;477385;7952;1.7;5282;3159;2123
2014;26;JU;Jura;72410;672;0.9;681;660;21
2015;1;ZH;Zurich;1466424;20070;1.4;16866;11156;5710
2015;2;BE;Berne;1017483;8065;0.8;10072;9644;428
2015;3;LU;Lucerne;398762;4158;1.1;4192;3137;1055
2015;4;UR;Uri;35973;-35;-0.1;322;367;-45
2015;5;SZ;Schwytz;154093;1334;0.9;1607;1164;443
2015;6;OW;Obwald;37076;242;0.7;359;270;89
2015;7;NW;Nidwald;42420;340;0.8;426;304;122
2015;8;GL;Glaris;40028;234;0.6;409;354;55
2015;9;ZG;Zoug;122134;2045;1.7;1295;735;560
2015;10;FR;Fribourg;307461;4084;1.3;3391;2049;1342
2015;11;SO;Soleure;266418;2699;1;2536;2500;36
2015;12;BS;Bâle-Ville;191817;1237;0.6;2032;2146;-114
2015;13;BL;Bâle-Campagne;283231;1930;0.7;2550;2525;25
2015;14;SH;Schaffhouse;79836;419;0.5;700;743;-43
2015;15;AR;Appenzell Rh.-Ext.;54543;479;0.9;558;508;50
2015;16;AI;Appenzell Rh.-Int.;15974;120;0.8;181;137;44
2015;17;SG;Saint-Gall;499065;3241;0.7;5363;3945;1418
2015;18;GR;Grisons;196610;724;0.4;1748;1734;14
2015;19;AG;Argovie;653675;8398;1.3;6707;4871;1836
2015;20;TG;Thurgovie;267429;3696;1.4;2785;1941;844
2015;21;TI;Tessin;351946;1583;0.5;2957;3294;-337
2015;22;VD;Vaud;773407;11961;1.6;8385;5599;2786
2015;23;VS;Valais;335696;3933;1.2;3247;2726;521
2015;24;NE;Neuchâtel;178107;780;0.4;1783;1655;128
2015;25;GE;Genève;484736;7351;1.5;5388;3405;1983
2015;26;JU;Jura;72782;372;0.5;700;697;3
2016;1;ZH;Zurich;1487969;21545;1.5;17051;10716;6335
2016;2;BE;Berne;1026513;9030;0.9;10113;9437;676
2016;3;LU;Lucerne;403397;4635;1.2;4265;2844;1421
2016;4;UR;Uri;36145;172;0.5;332;348;-16
2016;5;SZ;Schwytz;155863;1770;1.1;1559;1133;426
2016;6;OW;Obwald;37378;302;0.8;370;246;124
2016;7;NW;Nidwald;42556;136;0.3;398;296;102
2016;8;GL;Glaris;40147;119;0.3;414;370;44
2016;9;ZG;Zoug;123948;1814;1.5;1377;746;631
2016;10;FR;Fribourg;311914;4453;1.4;3501;2022;1479
2016;11;SO;Soleure;269441;3023;1.1;2591;2268;323
2016;12;BS;Bâle-Ville;193070;1253;0.7;2076;1988;88
2016;13;BL;Bâle-Campagne;285624;2393;0.8;2608;2432;176
2016;14;SH;Schaffhouse;80769;933;1.2;758;748;10
2016;15;AR;Appenzell Rh.-Ext.;54954;411;0.8;586;506;80
2016;16;AI;Appenzell Rh.-Int.;16003;29;0.2;186;155;31
2016;17;SG;Saint-Gall;502552;3487;0.7;5388;3845;1543
2016;18;GR;Grisons;197550;940;0.5;1806;1624;182
2016;19;AG;Argovie;663462;9787;1.5;6979;4761;2218
2016;20;TG;Thurgovie;270709;3280;1.2;2866;1968;898
2016;21;TI;Tessin;354375;2429;0.7;2806;2988;-182
2016;22;VD;Vaud;784822;11415;1.5;8730;5413;3317
2016;23;VS;Valais;339176;3480;1;3274;2612;662
2016;24;NE;Neuchâtel;178567;460;0.3;1804;1571;233
2016;25;GE;Genève;489524;4788;1;5361;3220;2141
2016;26;JU;Jura;73122;340;0.5;684;707;-23
2017;1;ZH;Zurich;1504346;16377;1.1;17070;11076;5994
2017;2;BE;Berne;1031126;4613;0.4;10141;9465;676
2017;3;LU;Lucerne;406506;3109;0.8;4384;3077;1307
2017;4;UR;Uri;36299;154;0.4;350;359;-9
2017;5;SZ;Schwytz;157301;1438;0.9;1510;1067;443
2017;6;OW;Obwald;37575;197;0.5;377;279;98
2017;7;NW;Nidwald;42969;413;1;418;334;84
2017;8;GL;Glaris;40349;202;0.5;378;378;0
2017;9;ZG;Zoug;125421;1473;1.2;1257;795;462
2017;10;FR;Fribourg;315074;3160;1;3428;2061;1367
2017;11;SO;Soleure;271432;1991;0.7;2555;2444;111
2017;12;BS;Bâle-Ville;193908;838;0.4;2069;2123;-54
2017;13;BL;Bâle-Campagne;287023;1399;0.5;2694;2462;232
2017;14;SH;Schaffhouse;81351;582;0.7;747;739;8
2017;15;AR;Appenzell Rh.-Ext.;55178;224;0.4;564;506;58
2017;16;AI;Appenzell Rh.-Int.;16105;102;0.6;186;121;65
2017;17;SG;Saint-Gall;504686;2134;0.4;5205;3886;1319
2017;18;GR;Grisons;197888;338;0.2;1712;1746;-34
2017;19;AG;Argovie;670988;7526;1.1;6914;4711;2203
2017;20;TG;Thurgovie;273801;3092;1.1;2809;1986;823
2017;21;TI;Tessin;353709;-666;-0.2;2774;3230;-456
2017;22;VD;Vaud;793129;8307;1.1;8686;5749;2937
2017;23;VS;Valais;341463;2287;0.7;3259;2759;500
2017;24;NE;Neuchâtel;177964;-603;-0.3;1758;1612;146
2017;25;GE;Genève;495249;5725;1.2;5441;3342;2099
2017;26;JU;Jura;73290;168;0.2;695;664;31
